county,ded,townland_or_street,townland_to_map_url,townland_to_map
Antrim,Glencloy,Unshinagh_North,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/unshinagh-north,Unshinagh_North
Antrim,Glencloy,Unshinagh_South,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/unshinagh-south,Unshinagh_South
Antrim,Glenravel,Brae,http://www.townlands.ie/antrim/antrim-lower/skerry/brae,Brae
Antrim,Glenravel,Islandnabracky,http://www.townlands.ie/antrim/kilconway/skerry/islandnabracky,Islandnabracky
Antrim,Glenravel,Knockanully,http://www.townlands.ie/antrim/antrim-lower/skerry/knockanully,Knockanully
Antrim,Glenravel,Rathsherry,http://www.townlands.ie/antrim/antrim-lower/skerry/rathsherry,Rathsherry
Antrim,Glenwherry,Clatteryknowes,http://www.townlands.ie/antrim/antrim-lower/glenwhirry/clatteryknowes,Clatteryknowes
Antrim,Glenwherry,Glenhead,http://www.townlands.ie/antrim/antrim-lower/glenwhirry/glenhead,Glenhead
Antrim,Glenwherry,Glenwhirry,http://www.townlands.ie/antrim/antrim-lower/glenwhirry/glenwhirry,Glenwhirry
Antrim,Glenwherry,Greenhill,http://www.townlands.ie/antrim/antrim-lower/glenwhirry/greenhill,Greenhill
Antrim,Glenwherry,Kearneyhill,http://www.townlands.ie/antrim/antrim-lower/glenwhirry/kernyhill,Kearneyhill
Antrim,Glenwherry,Kinnegallagh,http://www.townlands.ie/antrim/antrim-lower/glenwhirry/kinnegalliagh,Kinnegallagh
Antrim,Glenwherry,Skerrywhirry,http://www.townlands.ie/antrim/antrim-lower/glenwhirry/skerrywhirry,Skerrywhirry
Antrim,Longmore,Aghafatten,http://www.townlands.ie/antrim/antrim-lower/skerry/aghafatten,Aghafatten
Antrim,Longmore,Cleggan,http://www.townlands.ie/antrim/antrim-lower/skerry/cleggan,Cleggan
Antrim,Longmore,Loughconnelly,http://www.townlands.ie/antrim/antrim-lower/skerry/loughconnelly,Loughconnelly
Antrim,Longmore,Magheramully,http://www.townlands.ie/antrim/antrim-lower/skerry/magheramully,Magheramully
Antrim,Newtown_Crommelin,Cargan_Village,http://www.townlands.ie/antrim/kilconway/dunaghy/cargin,Cargan
Antrim,Newtown_Crommelin,Cargan,http://www.townlands.ie/antrim/kilconway/dunaghy/cargin,Cargan
Antrim,Newtown_Crommelin,Carrowcowan,http://www.townlands.ie/antrim/kilconway/dunaghy/carrowcowan,Carrowcowan
