,0,1,2,3
100,13205 Maham Rd Dallas TX 75240,C Store,2.699,3 Days Ago
101,8055 Churchill Way Dallas TX 75251,Costco #1266,2.359,1 Day Ago
102,3108 Old Denton Rd Carrollton TX 75007,E Z Shop #13,2.749,1 Day Ago
103,301 Coit Rd Plano TX 75075,Sams Club #8299,2.599,5 Days Ago
104,3055 Old Denton Rd Carrollton TX 75007,Chevron #303885,2.749,1 Day Ago
105,1010 W Frankford Rd Carrollton TX 75007,Chevron,2.759,4 Days Ago
106,2847 Royal Ln Dallas TX 75229,City Food Mart,2.579,7 Days Ago
107,2017 E Hebron Pkwy Carrollton TX 75010,Rizwan Z Moosa,2.659,2 Days Ago
108,430 Coit Rd Plano TX 75075,Murphy Express #8804,2.649,1 Day Ago
109,5028 W Park Blvd Plano TX 75093,Car Spa,2.549,4 Days Ago
110,5101 W Park Blvd Plano TX 75093,Chevron,2.669,1 Day Ago
111,13729 N Central Expy Dallas TX 75243,Murphy Usa #6548 (discount Available),2.639,1 Day Ago
112,2707 Royal Ln Dallas TX 75229,Racetrac  #2428,2.699,1 Day Ago
113,7950 Forest Ln Dallas TX 75230,Central Gas And More,2.759,1 Day Ago
114,4210 N Josey Ln Carrollton TX 75010,7-eleven #36356,2.699,1 Day Ago
115,1705 Briercroft Ct Carrollton TX 75006,Automated Fueling #205304,2.699,1 Day Ago
116,620 Coit Rd Plano TX 75075,Racetrac #253,2.649,1 Day Ago
117,710 W Spring Valley Rd Richardson TX 75080,Spring Valley Mart,2.699,2 Days Ago
118,13910 N Central Expy Dallas TX 75243,Shell,2.699,1 Day Ago
119,701 W Spring Valley Rd Richardson TX 75080,Chevron,2.699,1 Day Ago
120,4120 W 15th St Plano TX 75093,Express Mart,2.699,1 Day Ago
121,8124 Forest Ln Dallas TX 75243,Racetrac #478,2.649,1 Day Ago
122,2502 Royal Ln Dallas TX 75229,7-eleven #39547,2.699,1 Day Ago
123,11404 N Stemmons Fwy Dallas TX 75229,Shell,2.699,1 Day Ago
124,4601 W Park Blvd Plano TX 75093,7-eleven #34703,2.659,1 Day Ago
125,3700 Old Denton Rd Carrollton TX 75007,7-eleven #34557,2.599,1 Day Ago
126,9998 Marsh Ln Dallas TX 75220,7-eleven #36002,2.659,1 Day Ago
127,11237 Harry Hines Blvd Dallas TX 75229,Chevron #380817,2.689,1 Day Ago
128,11360 Emerald St Dallas TX 75229,Emerald C Store,2.679,1 Day Ago
129,2358 Royal Ln Dallas TX 75229,7-eleven #36365,2.679,1 Day Ago
130,591 W Campbell Rd Richardson TX 75080,Texaco,2.599,2 Days Ago
131,2460 Luna Rd Carrollton TX 75006,Racetrac #143,2.649,1 Day Ago
132,10950 N Central Expy Dallas TX 75231,Texaco,2.699,1 Day Ago
133,3905 Old Denton Rd Carrollton TX 75007,Corner Store #0787,2.659,1 Day Ago
134,522 W Belt Line Rd Richardson TX 75080,Quiktrip #960,2.639,1 Day Ago
135,2992 Walnut Hill Ln Dallas TX 75229,In And Out Food Mart,2.599,2 Days Ago
136,6001 W Parker Rd Plano TX 75093,Chevron,2.699,1 Day Ago
137,4038 Old Denton Rd Carrollton TX 75007,Kroger Fuel Center #1460 (discount Available),2.699,2 Days Ago
138,170 E Spring Valley Richardson TX 75081,7-eleven #35475,2.659,1 Day Ago
139,10998 Harry Hines Blvd Dallas TX 75220,7-eleven #22889,2.699,1 Day Ago
140,1912 Coit Rd Plano TX 75075,Quik-way,2.669,1 Day Ago
141,2865 W Plano Pkwy Plano TX 75075,Racetrac #135,2.649,1 Day Ago
142,1009 W Hebron Pkwy Carrollton TX 75010,Hebron Mart,2.699,1 Day Ago
143,10941 Harry Hines Blvd Dallas TX 75220,Shell,2.689,1 Day Ago
144,100 S Greenville Ave Richardson TX 75081,Shell,2.699,1 Day Ago
145,12250 Greenville Ave Dallas TX 75243,Racetrac #514,2.649,1 Day Ago
146,10405 N Central Expy Dallas TX 75231,Quik-way,2.759,1 Day Ago
147,1716 W Frankford Rd Carrollton TX 75007,Racetrac #600,2.659,1 Day Ago
148,3940 W 15th St Plano TX 75075,Valero,2.699,4 Days Ago
149,9100 Forest Ln Dallas TX 75243,7-eleven #39442,2.699,1 Day Ago
150,555 W Arapaho Rd Richardson TX 75080,Arapaho Fina,2.599,3 Days Ago
151,2439 Walnut Hill Ln Dallas TX 75229,Mountain Express,2.699,4 Days Ago
152,4788 N Josey Lane Carrollton TX 75010,Racetrac #77,2.559,1 Day Ago
153,13010 Abrams Rd Dallas TX 75243,Chevron,2.699,5 Days Ago
