Title,Year,Size,Materials and Medium,Series ,Link to Image
The Pursuit of Oblivion,2004,3526 x 2778 x 1602 mm | 138.8 x 109.4 x 63.1 in,"Glass, painted stainless steel, silicone, stainless steel butcher's rack and meat hooks, knives, sharpening steels, cleavers, saws, stainless steel chain, umbrella, resin hat, cloak, bird cage, resin books, resin armchair, resin walking cane, resin shoes, motorcycle helmet, sides of beef, sausages, dove and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS438_front_771_0.jpg
The True Artist Helps the World by Revealing Mystic Truths,2006,"Triptych, each: 2134 x 1829 x 165 mm | 84 x 72 x 6.5 in ","Glass, painted MDF, ramin, acrylic, fish and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS4524r_771_0.jpg
Saint James the Greater,2005,611 x 915 x 165 mm | 24 x 36 x 6.5 in,"Glass, painted MDF, aluminium, acrylic, fish and formaldehyde",Formaldehyde,http://damienhirst.com/images/hirstimage/SaintJames_1_1440_0.jpg
Alone Yet Together,1993,914 x 1219 x 102 mm | 36 x 48 x 4 in,"Glass, painted MDF, ramin, acrylic, fish and formaldehyde",Formaldehyde,http://damienhirst.com/images/hirstimage/AloneYet1_1_1440_0.jpg
When You're Smiling,1995,845 x 605 mm | 33.3 x 23.8 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS41761t_771_0.jpg
Wowee Zowee,1993,850 x 610 mm | 33.5 x 24 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS4182t_771_0.jpg
Glee Joy,1994,610 x 455 mm | 24 x 17.9 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS41721t_771_0.jpg
Blobby Happy,1994,845 x 597 mm | 33.3 x 23.5 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS41751t_771_0.jpg
Happy Happy Happy,1994,510 x 405 mm | 20.1 x 15.9 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS41741t_771_0.jpg
Happiness,1993 - 1994,610 x 455 mm | 24 x 27.9 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS41711t_771_0.jpg
Smile Smile,1993 - 1995,845 x 597 mm | 33.3 x 23.5 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS41791t_771_0.jpg
Bum Fun,1993 - 1994,845 x 597 mm | 33.3 x 23.5 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS41801t_771_0.jpg
Verity,2003 - 2012,20250 x 3800 x 7600 mm | 797.3 x 149.6 x 299.3 in,"Bronze, stainless steel, glass fibre reinforced polymer","Gold, Silver and Bronze",http://damienhirst.com/images/hirstimage/VerityPC2v3_771_0.jpg
Because I Can't Have You I Want You,1993,"Diptych, each: 1219 x 2438 x 305 mm | 48 x 96 x 12 in","Glass, painted MDF, pine, steel, acrylic, fish and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS1942_771_0.jpg
Believer,2008,2134 x 5334 mm | 82 x 210 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS10633t_771_0.jpg
The Immortal,1997 - 2005,2610 x 5142 x 2438 mm | 102.8 x 202.5 x 96 in,"Glass, painted stainless steel, silicone, stainless steel, monofilament, shark and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS4880side_771_0.jpg
Dircenna klugii in Psychotria elata,2009 - 2010,305 x 457 mm | 12 x 18 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10668t_771_0.jpg
Heliconius charithonia in Tagetes,2009 - 2010,508 x 762 mm | 20 x 30 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10685t_771_0.jpg
Heliconius charithonia in Lantana,2009 - 2010,457 x 305 mm | 18 x 12 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10703t_771_0.jpg
Graphium agamemnon in Pentas lanceolata,2009 - 2010,914 x 1372 mm | 36 x 54 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10700t_771_0.jpg
Melanargia galathea,2009 - 2010,1829 x 1213 mm | 72 x 47.8 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10665v2t_771_0.jpg
Colias croceus in Senecio,2009 - 2010,762 x 521 mm | 30 x 20.5 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10696t_771_0.jpg
Heliconius melpomene amaryllis in Passiflora,2009,762 x 508 mm | 30 x 20 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10650t_771_0.jpg
Phoebis sennae,2009 - 2010,1372 x 914 mm | 54 x 36 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10647t_771_0.jpg
Graphium agamemnon in Pentas lanceolata,2009 - 2010,914 x 1372 mm | 36 x 54 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10700t_771_0.jpg
Danaus plexippus in Tagetes,2009 - 2010,914 x 1372 mm | 36 x 54 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10659t_771_0.jpg
Lysandra bellargus ,2009 - 2010,889 x 1372 mm | 35 x 54 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10662t_771_0.jpg
Polygonia c-album in Sedum spectabile ,2009 - 2010,330 x 457 mm | 13 x 18 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10732t_771_0.jpg
Papilio polyxenes in Gerbera,2009 - 2010,457 x 432 mm | 18 x 17 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs107251t_771_0.jpg
Idea leuconoe in Nerium oleander,2009 - 2010,1829 x 1181 mm | 72 x 46.5 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10642t_771_0.jpg
Myscelia cyaniris,2009 - 2010,305 x 457 mm | 12 x 18 in,june 2013 butterfly love painting fact painting DHS 10641,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10705t_771_0.jpg
Dircenna klugii in Psychotria elata,2009 - 2010,305 x 457 mm | 12 x 18 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10668t_771_0.jpg
Melanargia galathea in Poaceae,2009,762 x 495 mm | 30 x 19.5 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10643t_771_0.jpg
Idea leuconoe in Bougainvillea,2009 - 2010,1372 x 914 mm | 54 x 36 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10716t_771_0.jpg
Everes comyntas in Digitaria sanguinalis,2009 - 2010,457 x 305 mm | 18 x 12 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10717t_771_0.jpg
Melanargia galathea,2009 - 2010,1829 x 1213 mm | 72 x 47.8 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs10665v2t_771_0.jpg
Heliconius melpomene in Aster,2009 - 2010,457 x 305 mm | 18 x 12 in,Oil on canvas,Fact Paintings,http://damienhirst.com/images/hirstimage/dhs106521t_771_0.jpg
Holidays in the Sun,1991,1372 x 1016 x 229 mm | 54 x 40 x 9 in,"Glass, faced particleboard, ramin, wooden dowels, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5989_771_0.jpg
Psst,1997,381 x 762 x 152 mm | 15 x 30 x 6 in,"Glass, painted MDF, beech, ramin, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5282Psst1997a3r_771_0.jpg
Lose Yourself,2008,1372 x 1016 x 229 mm | 54 x 40 x 9 in,"Grey tinted glass, painted MDF, painted ramin, steel, painted nickel-plated steel, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS9897_771_0.jpg
The Existence of Something Causes Something,1997,1219 x 1829 x 203 mm | 48 x 72 x 8 in,"Glass, painted MDF, ramin, steel, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5354DamienHirstUn_771_0.jpg
Nothing is a Problem for Me Anymore,2011 - 2012,1829 x 2743 x 305 mm | 72 x 108 x 12 in,"Glass, painted MDF, beech, painted steel, aluminum, pharmaceutical packaging and medical equipment",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS15915_771_0.jpg
When I’m Gone,2008,1372 x 1016 x 229 mm | 54 x 40 x 9 in,"Grey tinted glass, painted MDF, painted ramin, steel, painted nickel-plated steel, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS12457_771_0.jpg
Without Me,2008,1372 x 1016 x 229 mm | 54 x 40 x 9 in,"Grey tinted glass, painted MDF, painted ramin, steel, painted nickel-plated steel, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS12456_771_0.jpg
The Colony,2005,610 x 914 x 152 mm | 24 x 36 x 6 in,"Glass, painted MDF, aluminium, metal pins, nickel-plated steel, sliding door lock and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5654_771_0.jpg
Untitled aa,1992,610 x 1016 x 229 mm | 24 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5072r_771_0.jpg
Huht-Hmm,1997,381 x 762 x 152 mm | 15 x 30 x 6 in,"Glass, painted MDF, beech, ramin, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS4977WCr_771_0.jpg
Untitled aaaaaa,1992,610 x 1016 x 229 mm | 24 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5079r_771_0.jpg
Untitled AAAAAAA,1992,762 x 1016 x 229 mm | 30 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS50801r_771_0.jpg
Untitled AAA,1992,762 x 1016 x 229 mm | 30 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5073r_771_0.jpg
