Title,Year,Size,Materials and Medium,Series ,Link to Image
The Four Seasons,2010,"Four parts, each: 1727 x 1930 mm | 68 x 76 | (4 inch spot)",Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs13870tex_771_0.jpg
Erythroagglutinin,2008,2743 x 2743 mm | 108 x 108 in | (36 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs11211t_771_0.jpg
"Second Series Biopsy: M122/372, M122/373 ",2008,"Diptych, each: 1829 x 1941 mm | 72 x 76.4 in","Inkjet print and household gloss on canvas with glass, blades, crucifixes and religious artefacts",Biopsy Paintings,http://damienhirst.com/images/hirstimage/dhs8673t_771_0.jpg
"The More You Know, the More You Need to Know",2002,1829 x 2743 x 102 mm | 72 x 108 x 4 in,"Glass, stainless steel, steel, aluminium, nickel, bismuth and cast resin, coloured plaster and painted pills with dry transfers",Pill Cabinets,http://damienhirst.com/images/hirstimage/DHS5348v2_771_0.jpg
True Lies,2005,"Diptych, each: 2134 x 2134 mm | 84 x 84 in",Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs4599t_771_0.jpg
Spin Skull with Clocks in Eyes,2008,1219 x 1219 mm | 48 x 48 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/dhs8084t_771_0.jpg
"<M122/337 Cells of breast cancer, light_micrograph_SPL.jpg>",2008,3600 x 2436 mm | 141.8 x 95.9 in,"Inkjet print and household gloss on canvas with glass, pins, needles, blades and fish-hooks.",Biopsy Paintings,http://damienhirst.com/images/hirstimage/dhs6289t_771_0.jpg
Biphenol,1995,508 x 457 mm | 20 x 18 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs4875t_771_0.jpg
Ferrocene,2008,914 x 1321 mm | 36 x 52 | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs7264t_771_0.jpg
True Lies,2005,"Diptych, each: 2134 x 2134 mm | 84 x 84 in",Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs4599t_771_0.jpg
Diamorphine,2004,2007 x 2007 mm | 79 x 79 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs1926t_771_0.jpg
Beautiful nebula (with bugs on the windshield) painting,2001,Diameter: 1829 mm | 72 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/dhs245t_771_0.jpg
In the Summer Time,2002,Diameter: 1600 mm | 63 in,Butterflies and household gloss canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs487t_771_0.jpg
Magisterium,2007,1829 x 1829 mm | 72 x 72 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/dhs1228t_771_0.jpg
"Damned if You Don’t, Damned if You Do",2005,1219 x 2438 mm | 48 x 96 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/dhs3100at_771_0.jpg
Two Similar Swimming Forms in Endless Motion (Broken),1993,914 x 3658 x 1829 mm | 36 x 144 x 72 in,"Acrylic, painted aluminium, sharks and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS4541sharks2_771_0.jpg
Beautiful romance in the age of uncertainty party painting 2,2003,Diameter: 2134 mm | 84 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/dhs695t_771_0.jpg
Midas of Phrygia,2007,Diameter: 1524 mm | 60 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS2269t_771_0.jpg
I Love You,1994 - 1995,2134 x 2134 mm | 84 x 84 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS1258t_771_0.jpg
A Deep Earthy Green Kiss,2006,406 x 305 mm | 16 x 12 in ,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS5935t_771_0.jpg
Fly Test for Ten Plagues,2008,1217 x 1255 mm | 47.9 x 49.4 in,"Flies, chalk, resin and household gloss on wood",Fly Paintings and Sculptures,http://damienhirst.com/images/hirstimage/DHS11801FWt_771_0.jpg
Cefadroxil,2010,838 x 533 mm | 33 x 21 in | (1 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS12598rFWt_771_0.jpg
Bufo Marinus,1998,400 x 402 mm | 15.8 x 15.9 in | (2 inch spot),,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS15640rFWr_771_0.jpg
Cicutoxin,2012,1016 x 762 mm | 40 x 30 in,"Metal, resin and plaster pills and varnish on canvas",Toxin Paintings,http://damienhirst.com/images/hirstimage/DHS13112FWt_771_0.jpg
Beautiful Var Pyromania Intense Painting,2008,1219 x 914 mm | 48 x 36 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS9286rtFWt_771_0.jpg
Fly Test for Ten Plagues,2008,1217 x 1255 mm | 47.9 x 49.4 in,"Flies, chalk, resin and household gloss on wood",Fly Paintings and Sculptures,http://damienhirst.com/images/hirstimage/DHS11801FWt_771_0.jpg
Beautiful Vibrations and Soundwaves Painting,2008,"Diptych, each: 1829 mm | 72 in",,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS9882rtFWt_771_0.jpg
Nightfall,2007,1219 x 1219 mm | 48 x 48 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS9101rtFWt_771_0.jpg
Philip (The Twelve Disciples),1994,457 x 914 x 457 mm | 18 x 36 x 18 in,"Glass, painted steel, silicone, bull's head and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS544FW_771_0.jpg
Blood Harvest,2006,"Diptych, each: 1372 x 1372 mm | 54 x 54 in",Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS6113rtFWt_771_0.jpg
Chlordane-UL-C,2007,1321 x 1524 mm | 52 x 60 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS7003rFWt_771_0.jpg
"<M865/250 Infertility (male), light_micrograph_SPL.jpg>",2007,1829 x 1219 mm | 72 x 48 in,Inkjet print and household gloss on linen with glass and blades,Biopsy Paintings,http://damienhirst.com/images/hirstimage/DHS7441rFWt_771_0.jpg
In Search of Nirvana,2007,1203 x 1803 x 102 mm | 47.4 x 71 x 4 in,"Glass, stainless steel, steel, aluminum, nickel, bismuth and cast resin, coloured plaster and painted pills with dry transfers",Pill Cabinets,http://damienhirst.com/images/hirstimage/DHS7501FW_771_0.jpg
"<M865/250 Infertility (male), light_micrograph_SPL.jpg>",2007,1829 x 1219 mm | 72 x 48 in,Inkjet print and household gloss on linen with glass and blades,Biopsy Paintings,http://damienhirst.com/images/hirstimage/DHS7441rFWt_771_0.jpg
In Search of Nirvana,2007,1203 x 1803 x 102 mm | 47.4 x 71 x 4 in,"Glass, stainless steel, steel, aluminum, nickel, bismuth and cast resin, coloured plaster and painted pills with dry transfers",Pill Cabinets,http://damienhirst.com/images/hirstimage/DHS7501FW_771_0.jpg
Beautiful I See Darkness Painting,2007,1219 x 1219 mm | 48 x 48 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS8068rFWt_771_0.jpg
"Second Series Biopsy: M132/655-Leukaemia_blood_cells,_scanning_electron_micrograph-SPL.jpg",2008,1829 x 1219 mm | 72 x 48 in,"Inkjet print and household gloss on canvas with glass, blades and religious artefacts",Biopsy Paintings,http://damienhirst.com/images/hirstimage/Image_SecondSeriesBi_2_771_0.jpg
Benevolence,2007,914 x 914 mm | 36 x 36 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS857t_771_0.jpg
Zomepirac,2003,Diameter: 1829 mm | 72 in,Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS1048t_771_0.jpg
Lover Boy,1998 - 2000,1880 x 1727 mm | 74 x 68 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS1775t_771_0.jpg
From the Cradle to the Grave,2000,2130 x 3050 x 2440 mm | 83.9 x 120.1 x 96.1 in,"Glass, painted steel, silicone rubber, half a chair, half a table, half a clock, half a suit, telephone, newspaper, credit card, pen, pencil, half a cup, half a cardigan, half a tea cup, half a chair, jam sandwich, biscuit box, spectacles, newspapers, books, half a clock, glass, false teeth and wooden walking stick",Vitrines,http://damienhirst.com/images/hirstimage/DHS2481FW_771_0.jpg
Nalorphine,1995,Diameter: 1454 x 889 mm | 57.3 x 35 in | (2 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS4505t_771_0.jpg
"Beautiful, Leeds United 3-0 If It's Gotta Hole In It Painting (the Vortex of Youth)",1999,Diameter: 1829 mm | 72 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS4811t_771_0.jpg
Biotin Hydrazide,1995,2337 x 4724 mm | 92 x 186 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS4872t_771_0.jpg
I Love Everything about You,1994,1067 x 2134 x 762 mm | 42 x 84 x 30 in,"Painted steel, medical waste containers and padlocks",Vitrines,http://damienhirst.com/images/hirstimage/DHS49811FW_771_0.jpg
I Can See Clearly Now,1991,1829 x 1524 x 254 mm | 72 x 60 x 10 in,"Painted MDF, steel, brass and glasses",None,http://damienhirst.com/images/hirstimage/DHS5280FW_771_0.jpg
The Martyrdom of Saint Matthew,2002 - 2003,1800 x 925 x 262 mm | 70.9 x 36.4 x 10.4 in,"Glass, stainless steel, steel, nickel, brass, rubber, blood, skull, roman hatchet, blooded axe, wooden crucifixes, wallet, book, pen, ink, rosary beads and laboratory glassware",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS650FWjpg_771_0.jpg
Gorgeous concentric baby blue target painting,2002,Diameter: 1829 mm | 72 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS656t_771_0.jpg
All You Need Is Love,2006,2140 x 2140 mm | 84.3 x 84.3 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS442unframedrFWt_771_0.jpg
"Up, Up and Away",1997,"Triptych, each: 900 x 900 x 310 mm | 35.4 x 35.4 x 12.3 in","Glass, painted steel, silicone, acrylic, monofilament, ducks and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS518wideFW_771_0.jpg
Beautiful career minded painting (with blue slash),1997,Diameter: 2134 mm | 84 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS525t_771_0.jpg
The Martyrdom of Saint Thomas,2002 - 2003,1800 x 925 x 262 mm | 70.9 x 36.4 x 10.4 in,"Glass, stainless steel, steel, nickel, brass, rubber, blood, rosary beads, filleting knife, ruler, set square, plastic tubing, wooden rack, blooded roman spears and laboratory glassware",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS649FWjpg_771_0.jpg
A Pure Virginal White Kiss,2006,305 x 406 mm | 12 x 16 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS5947t_771_0.jpg
Naphthyl Butyrate Solution,2006,298 x 307 mm | 11.8 x 12.1 in | (Spot size variable),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS15565t_771_0.jpg
Beautiful Mithras Synaesthesia Painting,2007,2438 x 2134 mm | 96 x 84 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS7825t_771_0.jpg
Sulfobromophthalein,2006,2743 x 2743 mm | 108 x 108 in | (36 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS7980t_771_0.jpg
"Theology, Philosophy, Medicine, Justice",2008,"Two tanks, each: 1918 x 3225 x 1092 mm | 75.5 x 127 x 43 in","Glass, painted stainless steel, silicone, monofilament, bull sharks and formaldehyde solution.",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS8029rFW_771_0.jpg
Schizophrenogenesis,2008,457 x 1829 x 457 mm | 18 x 72 x 18 in,"Glass, painted stainless steel, silicone, acrylic, cows' heads and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS8420v2_771_0.jpg
Zodiac,2008,"Twelve parts, each diameter: 610 mm | 24",Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS8544t_771_0.jpg
"Beautiful, Black and White Shattered Inside My Head Forever Painting",2008,2134 x 1219 mm | 84 x 48 in,Household gloss on canvas with skull,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS9317v2t_771_0.jpg
Judas and Money,2008,1524 x 762 mm | 60 x 30 in,Butterflies and enamel paint on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS9713t_771_0.jpg
Lost Memories and Dreams Forgotten,2008 - 2009,"Diptych, each: 1829 x 2743 x 102 mm | 72 x 108 x 4 in","Glass, stainless steel, steel, aluminium, nickel and cubic zirconia",Pill Cabinets,http://damienhirst.com/images/hirstimage/DHS10639angle_771_0.jpg
Santa Monica Target Practice,2012,2438 x 2037 mm | 96 x 80.3 in,Sign writing paint on canvas,Pie Charts,http://damienhirst.com/images/hirstimage/DHS16508_771_0.jpg
Boredom/Nowhere,1995,"Diptych, each: 1372 x 1016 x 229 mm | 54 x 40 x 9 in","Glass, faced particleboard, pine, ramin, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5990_771_0.jpg
Waste (Twice),1994,"Two parts, each: 1524 x 2134 x 1067 mm | 60 x 84 x 42 in","Glass, steel, silicone rubber and medical waste",Vitrines,http://damienhirst.com/images/hirstimage/DHS5295_771_0.jpg
The Adoration ,2007,2134 x 3200 x 2134 mm | 84 x 126 x 84 in,"Glass, painted steel, silicone rubber, formaldehyde solution, sheep, gold, rubber ball, Jack-in-the-box, cardboard hat with tinsel, medical equipment and hospital paraphernalia",Vitrines,http://damienhirst.com/images/hirstimage/DHS5559A_771_0.jpg
Midas,2006,Diameter: 2134 mm | 84 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS5565t_771_0.jpg
Ascension,2007,Diameter: 1829 mm | 72 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS5739t_771_0.jpg
Observation - The Crown of Justice,2006,2803 x 1830 mm | 110.4 x 72 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS5751t_771_0.jpg
A Dark Place,2006,Diameter: 2591 mm | 102 in,Flies and resin on canvas,Fly Paintings and Sculptures,http://damienhirst.com/images/hirstimage/DHS5925_771_0.jpg
A Titillating Turquoise Kiss,2006,305 x 406 mm | 12 x 16 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS5945tFW_771_0.jpg
Love Remembered,2007,2438 x 2438 mm | 96 x 96 in,"Glass, stainless steel, steel, aluminium, nickel, bismuth and cast resin, coloured plaster and painted pills with dry transfers",Pill Cabinets,http://damienhirst.com/images/hirstimage/DHS6220S_771_0.jpg
Monument to the Living and the Dead,2006,"Diptych, each: 2134 x 2134 mm | 84 x 84 in",Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs6892t_771_0.jpg
Denatonium Benzoate,2007,Diptych: 2134 mm | 84 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS7622t_1_771_0.jpg
The Black Sheep with Golden Horns (Divided),2009,"Two parts, each: 1180 x 1860 x 513 mm | 46.5 x 73.3 x 20.3 in","Glass, painted stainless steel, silicone, acrylic, plastic cable ties, stainless steel, gold, lamb and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS76943Qv2_771_0.jpg
Transgressor,2007,Diameter: 2438 mm | 96 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS5740t_771_0.jpg
Summer Wind,2006,1219 x 762 mm | 48 x 30 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS6309t_771_0.jpg
Sodium Cyanide-C,2007,2540 x 2946 mm | 110 x 116 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/SodiumCyanideC_2_1440_0.jpg
Salicylate Hydroxylase,2008,1473 x 965 mm | 58 x 38 in | (2 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/SalicylateHydroxylas_4_771_0.jpg
Beautiful second exploding pale blue comet impact painting,2001,Diameter: 1829 mm | 72 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS307t_771_0.jpg
Beautiful Love Demelza Painting with Beautiful Butterflies,2008,2140 x 2140 mm | 84.3 x 84.3 in,Butterflies and household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS449t_771_0.jpg
The Martyrdom of Saint Jude,2002 - 2003,1800 x 925 x 262 mm | 70.9 x 36.4 x 10.4 in,"Glass, stainless steel, steel, nickel, brass, rubber, Bunsen burner, wooden crucifix, Thermos liners, nails, wooden club with blood and hair, lump hammer, Dymo tape (boxed), bottle stoppers, laboratory glassware and equipment",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS644v2_771_0.jpg
The Martyrdom of Saint James the Greater,2002 - 2003,1800 x 925 x 262 mm | 70.9 x 36.4 x 10.4 in,"Glass, stainless steel, steel, nickel, brass, rubber, Bunsen burners, blooded sword, wallet, porcelain horse, scallop shells, plastic tubing, laboratory glassware and equipment",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS646v2_771_0.jpg
"Beautiful Teenage Angst, Mid-Life Crisis Painting",2005,965 x 686 mm | 38 x 27 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS803t_771_0.jpg
"Beautiful, demented, ubiquitous, insane, frightening, spikey, Boss, snowy, generous, Arki's 40th Love Painting (with blood on the snow)",2002,Diameter: 2134 mm | 84 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS847v2_771_0.jpg
True Faith,2004,1219 x 610 mm | 48 x 24 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS3082rt_771_0.jpg
Blind Faith,2004,1219 x 610 mm | 48 x 24 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS3083t_771_0.jpg
"Well, Whaddya Say?",2005,2134 x 914 x 102 mm | 84 x 36 x 4 in,"Glass, stainless steel, steel, nickel, brass, rubber and medical packaging",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS3163wide_771_0.jpg
"Well, Whaddya Care?",2005,2134 x 914 x 102 mm | 84 x 36 x 4 in,"Glass, stainless steel, steel, nickel, brass, rubber and medical packaging",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS3164_771_0.jpg
Dippy Dappy Dabby,1993,850 x 610 mm | 33.5 x 24 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS4178t_771_0.jpg
Chloroperoxidase,1998,914 x 1016 mm | 36 x 40 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS4483t_771_0.jpg
Tears for Everybody Looking at You,1997,2438 x 2438 x 2438 mm | 96 x 96 x 96,"Glass, stainless steel, silicone rubber, rubber tubing, water, umbrella, decoy ducks and pump",Vitrines,http://damienhirst.com/images/hirstimage/DHS4520_771_0.jpg
We've Got Style (The Vessel Collection - Pink),1993,1524 x 1930 x 178 mm | 60 x 76 x 7 in,"Painted MDF, glass and crockery",Other Works,http://damienhirst.com/images/hirstimage/DHS4545_771_0.1
"Yes, But How Do You Really Feel?",1996,1981 x 4267 x 464 mm | 78 x 168 x 18.3 in,"Glass, stainless steel, steel, nickel, brass, rubber and plastic skeletons",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS4556DamienHirstYe_771_0.jpg
Adenylosuccinate Lyase,1992,1118 x 2134 mm | 44 x 84 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS4591_771_0.jpg
Last Night I Dreamt I Didn't Have a Head,1997,2510 x 4280 x 2140 mm | 98.9 x 168.5 x 84.3 in,"Glass, steel, silicone rubber, taxidermy bear, bed, duvet, bedside cabinet, lamp, ashtray, empty alcohol bottles, flowers, kitchen roll, tissues, clothes, shoes, magazine and pen",Vitrines,http://damienhirst.com/images/hirstimage/DHS5001_771_0.jpg
"Creation Explored, Explained and Exploded",2003,1702 x 2794 x 330 mm | 67 x 110 x 13 in,"Wooden cabinet, glass, rocks and minerals",Other Works,http://damienhirst.com/images/hirstimage/CreationExpla_1_1440_0.jpg
Do You Know What I Like About You?,1994,2134 x 2134 mm | 84 x 84 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/WhatILikeAboutYou_1_1_1440_0.jpg
In This Terrible Moment We Are All Victims of an Environment That Refuses to Acknowledge the Soul,2002,2388 x 8738 x 102 mm | 94 x 344 x 4 in,"Glass, stainless steel, steel, aluminium, nickel, bismuth and cast resin, coloured plaster and painted pills with dry transfers",Pill Cabinets,http://damienhirst.com/images/hirstimage/DHS393SeeDBfornotes_771_0.jpg
Elate,2008,152 x 152 mm | 6 x 6 in,Butterfly and household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS14385r_771_0.jpg
Radiate,2008,152 x 152 mm | 6 x 6 in,Butterfly and household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS14392r_771_0.jpg
Fura 2-Am,2003,406 x 508 mm | 16 x 20 in | (2 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS15672rt_771_0.jpg
Beautiful Viracocha Confabulation Painting for Steve (with Diamonds),2011,Diameter: 1829 mm | 72 in,Cubic zirconia and household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS15712rt_771_0.jpg
Butyrophenone,1998,356 x 457 mm | 14 x 18 in | (12 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS15720rt_771_0.jpg
Tributyrin,2007,356 x 457 mm | 14 x 18 in | (2 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS15722r_771_0.jpg
Untitled,2001,"Triptych, each: 914 x 914 mm | 36 x 36 in",Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS291_771_0.jpg
Urea-13C,2001 - 2006,2997 x 12141 mm | 118 x 478 in | (2 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS305mrmounted_771_0.jpg
Yikes,1997,381 x 762 mm | 15 x 30 in,"Glass, painted MDF, beech, ramin, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS3192_771_0.jpg
Infinity,2001,2362 x 4699 x 102 mm | 93 x 185 x 4 in,"Glass, stainless steel, steel, aluminium, nickel, bismuth and cast resin, coloured plaster and painted pills with dry transfers",Pill Cabinets,http://damienhirst.com/images/hirstimage/DHS321wide_771_0.jpg
Dark Days,2008,2140 x 2140 mm | 84.3 x 84.3 in,"Butterflies, cubic zirconia and household gloss on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS445_771_0.jpg
Eulogy,2008,Diameter: 2134 mm | 84 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS5974_771_0.jpg
Summer in Siam,2002,1524 x 1524 mm | 60 x 60 in,Butterflies and household gloss canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS485_rt_771_0.jpg
Chlorobenzene,2002,Diameter: 2134 mm | 84 in | (2 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS489_r_771_0.jpg
Stubbed Out Love,1993,914 x 1219 x 114 mm | 36 x 48 x 4.5 in,"Glass, painted MDF, ramin, steel, cigarettes and ash",Cigarette Cabinets,http://damienhirst.com/images/hirstimage/DHS506_771_0.jpg
Nothing to Fear,1994,1829 x 2743 x 229 mm | 72 x 108 x 9 in,"Glass, painted MDF, beech, ramin, steel, aluminium, pens, pencil and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS533_771_0.jpg
Capric Acid Amide,2003,533 x 686 mm | 21 x 27 in | (1 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS981v4_771_0.jpg
Aquarius,2003,Diameter: 1829 mm | 72 in,Butterflies and household gloss canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS1090_771_0.jpg
Omniscience,2007,2586 x 2586 mm | 101.8 x 101.8 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS1127rt_771_0.jpg
Leukaemia,2003,1370 x 1015 mm | 53.9 x 40 in,Flies and resin on canvas,Fly Paintings and Sculptures,http://damienhirst.com/images/hirstimage/DHS1343_r_771_0.jpg
Chloramphenicol Acetyltransferase,1996,2845 x 2237 mm | 112 x 92 in | (4 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS4480rtSW_771_0.jpg
"The Rose Window, Durham Cathedral",2008,Diameter: 2700 mm | 106.3 in,Butterflies and metallic paint on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS9050_r_771_0.jpg
God Alone Knows,2007,Triptych: 3246 x 1710 x 611 mm | 127.8 x 67.3 x 24 in (Left) | 3805 x 2014 x 611 mm | 149.8 x 79.3 x 24 in (Centre) | 3246 x 1710 x 611 mm | | 127.8 x 67.3 x 24 in (Right),"Glass, painted stainless steel, silicone, mirror, stainless steel, plastic cable ties, sheep and formaldehyde solution with steel and Carrara marble plinths",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS6003_771_0.jpg
"<M132/769 Skin cancer, light_micrograph_SPL.jpg>",2006,2286 x 1524 mm | 90 x 60 in,Inkjet print and household gloss on linen with glass and hair,Biopsy Paintings,http://damienhirst.com/images/hirstimage/DHS7041v2_771_0.jpg
The Immaculate Heart – Sacred,2008,915 x 610 x 292 mm | 36 x 24 x 11.5 in,"Acrylic, painted stainless steel, stainless steel, resin, silicone, sterling silver barbed wire, monofilament, bull's heart, dove's wings and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS9253v2_771_0.jpg
Nothingness,2008,1829 x 2743 x 305 mm | 72 x 108 x 12 in,"Grey tinted glass, painted MDF, painted ramin, steel, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS9898_771_0.jpg
Enemies,2010,560 x 710 mm | 22 x 28 in,"Glass, gold plated stainless steel, steel, aluminium, nickel and lab padparadscha sapphires",Diamond Cabinets,http://damienhirst.com/images/hirstimage/DHS12372S_771_0.jpg
Paradise,2008,2134 x 2134 mm | 84 x 84 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS10100r_771_0.jpg
